"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000174992",6066.76158523875,-8.35635249070594,0.436245497271608,4.26751818924547e-84,8.04725904946019e-80
"ENSG00000182271",1010.54700599807,-9.35664485208163,0.544061214235658,3.99225851009259e-69,3.7641009362408e-65
"ENSG00000016602",5412.61399204283,-9.71521803099186,0.600515478679085,7.38692567342129e-62,4.64317524745684e-58
"ENSG00000071203",2930.77430698927,-8.14987647214916,0.524840293102457,1.41627461133002e-56,6.67667258646254e-53
"ENSG00000133742",5548.91750613586,-8.97793156174409,0.647743709425659,2.39839962239618e-46,9.04532433590496e-43
"ENSG00000168079",601.596550463554,-8.45027646800036,0.635162826654915,9.18745853018122e-43,2.47497007862325e-39
"ENSG00000167434",1315.33650051551,-6.90371627166249,0.516201265983636,2.75161998625915e-42,6.4859122601111e-39
"ENSG00000172159",229.494314800091,-4.99467165446488,0.402082810639848,3.95327844849369e-36,7.45469717032455e-33
"ENSG00000148180",5093.63499958088,-2.62433060695506,0.217239666997358,3.60003124391245e-35,6.17143537876883e-32
"ENSG00000204936",3970.25694111034,-7.23599154107186,0.649513938422086,1.63585601670696e-30,1.9279585566902e-27
"ENSG00000240498",373.542319258922,-7.93627561070544,0.71916234470926,2.09087835432799e-30,2.31927606632723e-27
"ENSG00000134028",2651.45598179513,-6.27746609295305,0.576088252289535,7.60402967635174e-29,7.63445456823597e-26
"ENSG00000104267",4989.92768318439,-6.10879190895017,0.568652666353117,4.85915651664442e-28,4.16495974701654e-25
"ENSG00000168748",640.244734099826,-7.28416231698801,0.691285503783839,1.11289562435967e-27,9.124292516761e-25
"ENSG00000138600",1267.65658058615,-2.10924516195412,0.204278110023756,1.91470339822582e-27,1.44422247921377e-24
"ENSG00000142959",621.119816870875,-8.15605451227742,0.793918077872028,5.55080377062049e-27,3.73826809652109e-24
"ENSG00000100604",1158.44443915547,-7.56141332187905,0.737620173961239,1.54438249173192e-26,1.00422140160651e-23
"ENSG00000132465",27125.0868273197,-6.44668459096316,0.625978391658032,3.74652735281522e-26,2.27897633200118e-23
"ENSG00000166250",134.212519568257,-5.14681618266463,0.518878849197244,5.9738926121817e-24,2.81624232469776e-21
"ENSG00000181826",121.363690629055,-3.31871668411901,0.335239867785528,7.89825541138699e-24,3.63261956811036e-21
"ENSG00000268388",219.520106322915,-5.07257779079786,0.526952651300569,1.12892751135696e-22,4.52940129396984e-20
"ENSG00000136044",1527.77832305414,-1.99119971417304,0.218082884901504,2.47030083009549e-22,9.50662505165522e-20
"ENSG00000101938",267.942274803912,-8.16780051191336,0.894227436322969,3.77614253498066e-22,1.39621019180648e-19
