"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000101187",610.778182771312,3.85257469834159,0.303618671372561,5.01294219425945e-38,9.45290509571504e-35
"ENSG00000015413",3677.03955924501,6.96599005327675,0.598321475442714,3.13286008567669e-33,4.54433404889271e-30
"ENSG00000122641",346.110371765721,6.33739495210228,0.568141036871366,1.92437550444052e-30,1.7279975660588e-27
"ENSG00000181577",644.480952766201,6.62786899165101,0.652857369506608,6.18862425577596e-26,4.02409957210922e-23
"ENSG00000127564",323.155282569648,3.23963582054501,0.334718109825799,1.2178222638087e-23,6.95893164504262e-21
"ENSG00000101057",1034.68034427749,3.14567326428252,0.330258788921354,4.82174223958369e-23,2.45739441653594e-20
"ENSG00000101412",425.319007386289,2.27260730657399,0.240542996458662,8.96727562078021e-23,4.33579272771929e-20
"ENSG00000165816",323.837934567542,3.59063911370212,0.37922707754312,1.40687950156664e-22,6.31655399072434e-20
"ENSG00000187498",6571.43325449293,3.49971690327143,0.375357976012139,4.96995570388619e-22,2.08263232684849e-19
"ENSG00000078098",139.474398181963,4.48406781694762,0.481969222340351,1.18345706621057e-21,4.85140215163753e-19
"ENSG00000146670",494.237228400987,2.30423569032372,0.264117845511796,6.65586784122748e-20,2.3681075449439e-17
"ENSG00000011426",748.354831796618,2.82209582584836,0.329960319941132,2.59979414329802e-19,8.1707196933618e-17
"ENSG00000164283",118.6144310751,5.21892673227319,0.607669726032612,6.27785640805402e-19,1.87907203629642e-16
"ENSG00000276043",533.81975033157,2.81069990609242,0.333740966339106,7.97294478973401e-19,2.34915343593772e-16
"ENSG00000101189",479.037265021968,1.6746766481091,0.197846359571849,9.00206586903855e-19,2.58564964301602e-16
"ENSG00000165905",337.694822221648,5.46020653759483,0.645128094470284,1.57016632404633e-18,4.29110527138284e-16
"ENSG00000134013",691.540293886759,2.95478473737347,0.357656119250235,3.37399763678089e-18,8.59776668064557e-16
"ENSG00000006327",450.024800908657,3.5450743745426,0.427086259138992,4.5061848852556e-18,1.10354712183461e-15
"ENSG00000139515",221.894903984466,6.2060840343536,0.754462324661274,5.70146997492069e-18,1.37836691432153e-15
"ENSG00000167767",247.662550033716,6.30135540936762,0.781106384334529,1.87361323235204e-17,4.36181786697067e-15
"ENSG00000091651",214.00547514268,1.93170654284671,0.246384206122401,1.50743848302583e-16,3.34420793816684e-14
"ENSG00000103253",132.191891660041,3.54093940026395,0.450667493894156,1.64122635516968e-16,3.59867504412031e-14
"ENSG00000172164",896.24831288126,2.03620861869516,0.260656003684157,1.75563235687182e-16,3.805282684314e-14
"ENSG00000129474",321.482317866187,3.09992530155851,0.400749428028677,2.6948150966677e-16,5.70967733459132e-14
"ENSG00000148848",208.104633256255,4.73879858718248,0.603139083353712,3.05644645376504e-16,6.40393453096083e-14
"ENSG00000094804",527.415031330082,2.38866687542659,0.310572104728347,3.31528699369352e-16,6.86993042198668e-14
"ENSG00000088992",263.853335499805,4.20179880400036,0.54016241320219,5.10070763955653e-16,1.02323451020338e-13
"ENSG00000165891",110.163113016809,2.79829600434422,0.368626787257246,6.72271223614658e-16,1.32052275663558e-13
"ENSG00000062282",396.085687010036,2.7518588069148,0.364137694937925,8.60133075246898e-16,1.67211643298255e-13
