"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000015413",3677.03955924501,8.11894441956489,0.599922199731435,6.49145084544184e-44,2.04015480987495e-40
"ENSG00000101187",610.778182771312,3.97749829534791,0.302241727589621,4.63826533776763e-40,9.7181966082538e-37
"ENSG00000165816",323.837934567542,4.51819904714304,0.373070567779222,2.42675431561024e-34,3.81344217745519e-31
"ENSG00000161944",197.805519293571,5.82697074085399,0.485085893302911,3.09917855064502e-34,4.49547768688563e-31
"ENSG00000130649",1637.34119214836,6.65977027363602,0.573082222882782,1.35540359864081e-32,1.82563183282642e-29
"ENSG00000215030",130.35554129483,6.18320793041663,0.544258924665985,4.63558855599327e-31,5.82755289335767e-28
"ENSG00000257017",7495.91599323051,7.51666190092902,0.698706894111915,7.69234962064398e-29,7.63445456823597e-26
"ENSG00000101412",425.319007386289,2.60345397260106,0.241858452418129,1.14066881253086e-28,1.07547958989472e-25
"ENSG00000187758",194.175704397081,4.86825757576422,0.447664905139411,3.23660736552002e-28,2.90631929007671e-25
"ENSG00000162267",804.41939514701,5.92137987486491,0.556400453941616,1.72255886810954e-27,1.3534288573309e-24
"ENSG00000181577",644.480952766201,6.86067891147771,0.652541468404925,2.42583968511692e-27,1.75938688239422e-24
"ENSG00000106927",1309.32769843236,6.787036990232,0.648551096861716,4.44146273999428e-27,3.10195047733601e-24
"ENSG00000089327",895.607587729392,2.85972228805093,0.276903909582021,3.33654120093674e-26,2.0972385808688e-23
"ENSG00000141505",244.38553729993,6.1064812438961,0.597890434596313,1.29840423493716e-25,7.65125270569061e-23
"ENSG00000167767",247.662550033716,7.75617878669902,0.785236869266249,5.26004160847418e-25,3.00571529124235e-22
"ENSG00000139547",114.327095283583,5.59716142560642,0.555796330048189,9.05452451490424e-25,5.02179908169263e-22
"ENSG00000229314",2407.09612153986,8.05633874260184,0.826538228116607,1.27833885717508e-24,6.88732452278585e-22
"ENSG00000118271",349.885080019789,5.89635331357739,0.589790222615022,1.44253562997113e-24,7.55608177065713e-22
"ENSG00000006704",658.805751864117,2.83713045293847,0.286866210953641,2.55126510270252e-24,1.30024881193679e-21
"ENSG00000173432",1137.98957349841,8.26433965171559,0.858543388293529,3.16471627389995e-24,1.57044880991925e-21
"ENSG00000127564",323.155282569648,3.31452118669507,0.331896067958303,3.29800555400796e-24,1.59462796748534e-21
"ENSG00000158106",516.791295446931,4.11297696652991,0.416942591544427,1.69214219128082e-23,7.59731554785297e-21
"ENSG00000146678",239.605426141915,7.1951697426028,0.751124222305759,2.04826514298507e-23,8.98235716308592e-21
"ENSG00000244414",221.327561814145,6.0120120966995,0.621251531466736,3.08163611774736e-23,1.32069118800823e-20
"ENSG00000105697",242.233549530711,8.24540265118558,0.884828800673904,6.11062939287278e-23,2.56062529914227e-20
"ENSG00000055957",607.204261222601,6.78338368938596,0.712985998123554,6.39347212452526e-23,2.62090660548202e-20
"ENSG00000080618",110.142873496645,6.75620305035093,0.714993924775989,1.22621299813309e-22,4.81722885537409e-20
"ENSG00000132855",95.6598687661657,6.61262841266134,0.704749815689789,2.72608155549963e-22,1.02811439784113e-19
"ENSG00000062282",396.085687010036,3.37867725916786,0.355377601749096,3.88131140139258e-22,1.40749786723192e-19
"ENSG00000261701",148.886620918087,7.0155279191291,0.757215890702711,5.08718141300925e-22,1.77646259083547e-19
"ENSG00000175003",72.2583056013919,5.90756158043327,0.629847293172973,5.97767134436904e-22,2.01287408108513e-19
"ENSG00000118137",2305.96528726687,7.01232853352343,0.773302478446113,3.1508442607491e-21,9.90257837082429e-19
"ENSG00000110245",770.780104714307,6.98833254454037,0.774465824404935,4.87667338609333e-21,1.50753164002561e-18
"ENSG00000158104",315.526617082186,6.07947732899652,0.666454207601711,5.55895636514781e-21,1.69072968028375e-18
"ENSG00000066813",62.9086057127937,6.03924523749268,0.667793332804844,1.18924913667447e-20,3.45010322619545e-18
"ENSG00000198099",472.031631796294,5.74695726350343,0.633798582430226,1.26716934465145e-20,3.62045641395339e-18
"ENSG00000091513",1344.47299121058,6.24862798303454,0.694648165819705,1.48420477731291e-20,4.12531286975521e-18
"ENSG00000021852",240.678841459839,7.05342069454611,0.800819002619265,3.12553355875168e-20,8.30115300244795e-18
"ENSG00000114771",114.259256173795,5.68532612688767,0.633989161278748,3.32849992319242e-20,8.63891889632113e-18
"ENSG00000112759",911.824435646882,2.65365545660763,0.303284278534242,5.02217535098594e-20,1.24609421833608e-17
"ENSG00000141582",392.355805879172,2.37918010090014,0.276386948827565,5.62313158928679e-20,1.37708301791144e-17
"ENSG00000138115",151.418962943629,6.35484187239276,0.726799150621972,1.25960891248344e-19,3.04518529008977e-17
"ENSG00000105707",126.308942288474,5.44819424622593,0.61879086128587,1.76308527932568e-19,4.20841760914484e-17
"ENSG00000197249",12598.0534979132,3.68766892864579,0.416593132162727,2.13800748384889e-19,4.97733421270845e-17
"ENSG00000106327",313.224739653405,5.43929550468186,0.623805535332259,3.76885592212503e-19,8.56256820765202e-17
"ENSG00000148965",100.713921872824,7.23028645869226,0.8530751122522,4.51664116609237e-19,1.01393217225005e-16
"ENSG00000101057",1034.68034427749,2.84907697914548,0.332787553734455,5.43464966182551e-19,1.20566104321228e-16
"ENSG00000127586",463.985372016689,2.56408021215301,0.305107817457819,6.74802010108315e-19,1.4796211051875e-16
"ENSG00000141485",116.070454639849,6.3059506899378,0.742629262122731,1.19152984332198e-18,2.55325889267302e-16
"ENSG00000175063",776.741919552665,2.86619137072938,0.339441561100969,1.55691065935409e-18,3.22622684653187e-16
"ENSG00000118520",122.664694130483,5.21772642626893,0.610528706190043,2.03231067021897e-18,4.12078304390529e-16
"ENSG00000255974",117.21636613776,6.19775234627863,0.736600421884368,2.58962793523231e-18,5.08673062236206e-16
"ENSG00000122641",346.110371765721,4.83064356766966,0.567618039031312,3.58664102181566e-18,6.83164542912909e-16
"ENSG00000178773",418.794920907682,6.34984208507129,0.760094359613657,3.65207577725702e-18,6.88671929317356e-16
"ENSG00000156096",121.121662970397,5.86076376355406,0.697809628602427,4.13800800242272e-18,7.725783851652e-16
"ENSG00000104760",896.829623538357,6.7053483478096,0.817719317803966,8.79979631678659e-18,1.59555537640043e-15
"ENSG00000091583",1238.68336245963,6.02533595677663,0.727555999072056,9.44459301643869e-18,1.69615895724747e-15
"ENSG00000157131",186.415180010114,6.83595130953922,0.839479443616621,1.20314057327789e-17,2.12033848507488e-15
"ENSG00000172164",896.24831288126,2.10196637601289,0.269043523074514,2.22333784501866e-17,3.77707042734386e-15
"ENSG00000122194",765.314386488626,6.32586753970423,0.780683063789382,3.01792370888653e-17,5.03619357331622e-15
"ENSG00000151655",627.670907225065,6.11637942577597,0.754725169665193,3.73785963682051e-17,6.12911471056733e-15
"ENSG00000163347",669.106497467485,4.32943684321068,0.525740350239334,4.56021223606859e-17,7.34973693466201e-15
"ENSG00000203499",325.106583050267,2.84272389617947,0.355333645285014,5.38093490874569e-17,8.52674702304348e-15
"ENSG00000007933",150.03330787562,4.63826568504378,0.570466638300379,9.62355189510722e-17,1.48746982037735e-14
"ENSG00000102265",2536.90315133976,2.9383378592587,0.371716666042279,1.56383071926785e-16,2.34040919628841e-14
"ENSG00000152669",102.269016023225,4.74121228832147,0.588956554540814,1.76293028372889e-16,2.59715440314653e-14
"ENSG00000091651",214.00547514268,1.92466208228874,0.254759899577555,1.83980226712893e-16,2.68718385535929e-14
"ENSG00000006327",450.024800908657,3.40166984466929,0.424397186938741,1.85254229833328e-16,2.68718385535929e-14
"ENSG00000167600",1900.95904326048,2.73263671078256,0.351265755624142,2.04068202698119e-16,2.89632523701886e-14
"ENSG00000109072",1251.44282854128,6.69845999577698,0.857460499760846,2.04280244218862e-16,2.89632523701886e-14
"ENSG00000188488",113.497152337714,4.01021596876779,0.498912701023583,2.34331478792284e-16,3.27317681154526e-14
"ENSG00000186185",294.53444114735,2.49349885301539,0.327092574466659,2.73446554512964e-16,3.78338026403427e-14
"ENSG00000187048",204.695135419175,6.60194060492877,0.847627040851131,2.74870390927875e-16,3.78338026403427e-14
"ENSG00000129988",348.606409067292,6.95750825788405,0.900700287299986,2.95782812304995e-16,4.04172209538789e-14
"ENSG00000108479",258.723090283494,2.28644567818387,0.308414761138742,6.90214217721457e-16,9.16575317153064e-14
"ENSG00000163581",163.350249152641,6.25033543291072,0.809587464443279,6.9669112946716e-16,9.18706617367988e-14
"ENSG00000143882",182.731264252602,3.2981433069401,0.422172157676134,7.71787317040154e-16,1.01066621093237e-13
"ENSG00000117601",469.701695675213,6.29546525566315,0.81927897898536,8.79582688685233e-16,1.14388212141637e-13
"ENSG00000138207",806.916179789832,5.25166592504799,0.674004366087441,1.00155609124264e-15,1.29358515154538e-13
"ENSG00000116785",101.65959256276,6.25305653122788,0.816671206740028,1.13869661544824e-15,1.44110081057097e-13
"ENSG00000146670",494.237228400987,2.00073182020064,0.274181464284657,1.21004678025652e-15,1.52119014235315e-13
"ENSG00000147647",68.2284848551392,6.11440353884457,0.800444835683275,1.51547760475777e-15,1.8437007221237e-13
"ENSG00000141570",156.209456536178,2.23776861401963,0.307364587044153,1.67109485465092e-15,2.01998946629182e-13
"ENSG00000180210",496.234188753844,6.87916243567769,0.915907921023614,1.68698664232192e-15,2.02621064422067e-13
"ENSG00000196620",112.434077545153,5.39033389332739,0.699649498849576,1.78197489489454e-15,2.12675320209027e-13
"ENSG00000145192",808.467095813467,6.53612638306656,0.870359478359281,2.56098218103395e-15,2.98101487578749e-13
"ENSG00000099937",147.907230386207,6.62719555940949,0.884504194345424,2.62244224638631e-15,3.03382781841145e-13
"ENSG00000013573",692.959158498129,1.83436288289169,0.253998768330894,2.8315601011079e-15,3.25577614796291e-13
"ENSG00000170509",87.0972908762134,4.62499106120855,0.60016539636084,2.86756943070651e-15,3.26196523323057e-13
"ENSG00000109084",736.721992066643,1.98404806783486,0.276214495300999,2.87268070262052e-15,3.26196523323057e-13
"ENSG00000083807",223.623695991753,3.94683691033265,0.511371052387069,2.88883806517211e-15,3.26196523323057e-13
"ENSG00000183747",43.8994776203465,5.07855350078009,0.662514189811084,3.03611188094295e-15,3.40785486541317e-13
"ENSG00000171557",4219.93209268479,6.52991398655914,0.872386044508842,3.10669971493838e-15,3.46645186536053e-13
"ENSG00000134339",434.376312865905,7.6305003892264,1.04848586930822,3.65506646405523e-15,4.05432872427585e-13
"ENSG00000244355",161.659033051648,8.53952223805115,1.21040646639543,5.56830293529508e-15,6.03456830177352e-13
"ENSG00000183734",990.121430309128,4.17747564688912,0.548357097030145,6.35662066733989e-15,6.77213536293945e-13
"ENSG00000110169",1151.65313178177,6.12526981434331,0.82264377532005,6.5177772286586e-15,6.90481602251771e-13
"ENSG00000169710",3542.36947979683,2.44808521402365,0.341734653794083,7.16359091049259e-15,7.54658289380775e-13
"ENSG00000273604",160.222338735408,4.14810779979733,0.546952422572964,8.25194903331153e-15,8.50311491372435e-13
"ENSG00000135480",117.525476515194,5.842195454461,0.784395466740673,8.51076739170808e-15,8.72214895138257e-13
"ENSG00000079557",67.6957277506844,6.46234136739289,0.881101259354461,1.03693607339693e-14,1.05250846878378e-12
"ENSG00000181085",156.304583745625,4.26854134746921,0.572330223574767,2.11312555121874e-14,2.06462220307418e-12
"ENSG00000160949",564.105366012447,2.10260282993133,0.306084197989216,2.76665784915094e-14,2.66177893170609e-12
"ENSG00000140107",155.980009992446,6.21686048929979,0.859249666287234,2.82087383959189e-14,2.70016334990783e-12
"ENSG00000160957",684.769874360729,2.75151552045616,0.386810846721504,3.0074447888831e-14,2.86421143353377e-12
"ENSG00000171560",5348.31915053712,6.30576222996383,0.877075824125767,3.57371879797271e-14,3.38641283283274e-12
"ENSG00000101255",830.016533145382,4.62015779505842,0.627803444625601,3.99451529776326e-14,3.74749129203591e-12
"ENSG00000113905",770.310104384456,5.98625783670265,0.829900278004802,4.20704153255746e-14,3.92733575145723e-12
"ENSG00000088002",129.120888227073,3.84603262019587,0.523336340695732,4.46774710306061e-14,4.15016291243418e-12
"ENSG00000116882",33.2858356179348,5.32908867625683,0.732270354200807,4.72918094784802e-14,4.37147868301815e-12
"ENSG00000186910",83.7518551187788,5.12402741522868,0.706033471212141,6.36567785565295e-14,5.82706734582756e-12
"ENSG00000175832",850.822403340031,4.54462130458868,0.622620301926054,6.40441399568447e-14,5.83420457568222e-12
"ENSG00000101981",91.0637619796065,6.21886851187274,0.873713036348885,6.59616531866184e-14,5.95138226861274e-12
"ENSG00000100652",40.4800807355883,5.33754606210613,0.739626320437283,7.33898318227618e-14,6.59005742229438e-12
"ENSG00000175336",80.2730007932449,5.88644903823525,0.825470050391154,8.42260124057702e-14,7.49174488648872e-12
"ENSG00000025423",178.476297513879,2.86096659369489,0.407930938499332,8.70980614149062e-14,7.71083635728115e-12
"ENSG00000171564",5116.44723126339,6.35830399684632,0.904376940757446,1.0558706811944e-13,9.26072252803853e-12
"ENSG00000130706",1855.07025131676,1.76903840373929,0.26265592814613,1.15283651719743e-13,1.00179899561254e-11
"ENSG00000184374",43.0878371365313,4.47789218610937,0.620394316227109,1.18498864523022e-13,1.02033474352084e-11
"ENSG00000165905",337.694822221648,4.63516028424462,0.64434006105814,1.33392934426591e-13,1.14335934749192e-11
"ENSG00000015520",34.8429838144267,4.64950246421067,0.646588320619312,1.35333830721219e-13,1.15474662710861e-11
"ENSG00000072080",47.6945218033616,5.99881636179052,0.852923960893227,1.51706350563156e-13,1.28283706393248e-11
"ENSG00000236882",41.466659017039,6.5959343831589,0.957913770587659,2.22670090990263e-13,1.85791588752362e-11
