Gene ID,Gene Name,SRR975564,SRR975565,SRR975566,SRR975569,SRR975570,SRR975571,SRR975597,SRR975598,SRR975599
ENSG00000000003,TSPAN6,487,4326,3652,2893,691,2271,1691,6192,722
ENSG00000000005,TNMD,3,21,7,18,4,20,10,40,14
ENSG00000000419,DPM1,679,1347,849,756,278,743,1066,1273,405
ENSG00000000457,SCYL3,232,454,172,609,225,539,256,422,95
ENSG00000000460,C1orf112,194,241,158,117,38,76,172,293,73
ENSG00000000938,FGR,360,84,227,111,35,212,148,72,111
ENSG00000000971,CFH,507,393,786,3316,696,2983,2576,2800,552
ENSG00000001036,FUCA2,1621,1984,1038,2031,832,2092,578,2176,488
ENSG00000001084,GCLC,749,1350,690,1237,474,1134,956,1022,577
ENSG00000001167,NFYA,723,622,554,824,302,809,571,1033,179
ENSG00000001460,STPG1,125,102,186,349,181,359,168,227,67
ENSG00000001461,NIPAL3,983,484,440,1468,594,1115,832,610,382
ENSG00000001497,LAS1L,904,1242,1205,642,291,905,767,1330,314
ENSG00000001561,ENPP4,409,689,290,1135,345,1044,328,578,178
ENSG00000001617,SEMA3F,308,575,851,383,162,400,1234,784,166
ENSG00000001626,CFTR,1471,2522,3575,7224,2612,5091,3184,1856,401
ENSG00000001629,ANKIB1,671,1212,827,1506,517,1317,618,642,396
ENSG00000001630,CYP51A1,341,312,267,186,51,170,227,320,69
ENSG00000001631,KRIT1,456,1230,467,755,284,702,502,528,202
ENSG00000002016,RAD52,170,164,124,353,149,399,166,156,93
ENSG00000002079,MYH16,4,21,3,1,1,1,2,5,1
ENSG00000002330,BAD,424,165,197,547,246,593,289,388,223
ENSG00000002549,LAP3,2872,2564,2473,1977,896,3665,2134,1629,506
ENSG00000002586,CD99,2395,2997,2038,3228,1085,2821,2161,1310,792
ENSG00000002587,HS3ST1,251,284,115,155,79,215,128,144,47
ENSG00000002726,AOC1,1314,2854,1708,5999,3179,9375,1284,4031,890
ENSG00000002745,WNT16,31,2,1,4,1,5,0,0,0
ENSG00000002746,HECW1,17,20,18,12,2,5,2,6,4
ENSG00000002822,MAD1L1,512,423,374,343,158,446,344,442,344
ENSG00000002834,LASP1,10557,7798,4129,8906,3990,9455,6125,5890,3846
ENSG00000002919,SNX11,370,431,321,563,274,538,262,417,242
ENSG00000002933,TMEM176A,468,7035,3789,2388,803,4256,2418,4316,480
ENSG00000003056,M6PR,1477,2329,1799,2128,640,2527,1664,1830,767
ENSG00000003096,KLHL13,111,80,1179,223,56,167,23,12,7
ENSG00000003137,CYP26B1,35,136,7,55,21,96,5,16,12
ENSG00000003147,ICA1,1043,1641,567,841,262,645,827,974,755
ENSG00000003249,DBNDD1,246,193,73,36,17,44,400,222,151
ENSG00000003393,ALS2,443,568,511,486,182,480,443,351,130
ENSG00000003400,CASP10,368,541,249,1314,448,3870,310,454,131
ENSG00000003402,CFLAR,1869,2383,1485,3658,1293,4226,1270,1854,849
ENSG00000003436,TFPI,260,486,274,527,170,570,253,402,154
ENSG00000003509,NDUFAF7,217,241,171,231,102,253,204,242,84
ENSG00000003756,RBM5,1034,1124,807,2360,887,2437,1222,1478,720
ENSG00000003987,MTMR7,11,7,6,47,16,39,21,7,4
ENSG00000003989,SLC7A2,50,255,30,320,112,253,342,273,90
ENSG00000004059,ARF5,1369,2477,1782,1280,666,1701,1232,2779,982
ENSG00000004139,SARM1,164,86,69,165,73,203,147,114,124
ENSG00000004142,POLDIP2,2795,1166,1732,1613,763,2043,1855,2171,768
ENSG00000004399,PLXND1,1249,1097,1486,887,345,1413,1773,711,739
ENSG00000004455,AK2,3903,2490,1610,3275,1439,4028,2766,2652,1277
ENSG00000004468,CD38,48,65,122,257,52,287,143,19,94
ENSG00000004478,FKBP4,6364,7334,2402,3045,1320,4257,4598,7359,1839
ENSG00000004487,KDM1A,1657,1266,1302,1578,651,1571,2300,1332,746
ENSG00000004534,RBM6,849,1072,1708,2412,959,2857,1310,1736,616
ENSG00000004660,CAMKK1,417,147,121,171,70,342,612,307,135
ENSG00000004700,RECQL,541,783,706,539,181,575,405,373,103
ENSG00000004766,VPS50,166,688,318,713,232,564,377,427,146
ENSG00000004776,HSPB6,203,54,52,88,44,186,117,126,77
ENSG00000004777,ARHGAP33,76,144,53,98,40,90,147,309,120
ENSG00000004779,NDUFAB1,1205,1099,618,984,467,1249,842,1619,436
ENSG00000004799,PDK4,152,642,145,1859,739,1608,294,423,93
ENSG00000004809,SLC22A16,0,2,6,5,0,2,1,2,1
ENSG00000004838,ZMYND10,18,10,7,9,4,12,6,7,6
ENSG00000004846,ABCB5,0,0,7,14,7,60,1,1,0
ENSG00000004848,ARX,192,0,2,19,4,7,0,1,0
ENSG00000004864,SLC25A13,737,1129,343,938,377,948,713,815,308
ENSG00000004866,ST7,354,410,261,279,73,269,189,366,96
ENSG00000004897,CDC27,1165,1096,795,1159,368,1112,755,644,220
ENSG00000004939,SLC4A1,0,0,0,0,0,3,1,0,0
ENSG00000004948,CALCR,1,9,2,5,0,4,0,4,0
ENSG00000004961,HCCS,598,653,531,730,337,937,393,635,188
ENSG00000004975,DVL2,494,513,368,535,219,684,773,656,237
ENSG00000005001,PRSS22,227,177,426,20,18,60,109,443,122
ENSG00000005007,UPF1,3392,3447,2215,2213,1061,2899,2641,4629,1498
ENSG00000005020,SKAP2,293,209,612,1779,632,1622,379,1056,320
ENSG00000005022,SLC25A5,10869,8248,8155,11768,5847,14264,5792,17038,2922
ENSG00000005059,MCUB,237,147,108,225,86,291,128,116,138
ENSG00000005073,HOXA11,92,31,38,63,33,145,1,357,9
ENSG00000005075,POLR2J,312,767,531,402,296,494,332,794,371
ENSG00000005100,DHX33,498,421,531,496,188,634,796,390,216
ENSG00000005102,MEOX1,29,78,70,82,20,137,14,9,4
ENSG00000005108,THSD7A,15,76,92,88,30,120,18,15,13
ENSG00000005156,LIG3,802,428,697,558,227,638,665,743,198
ENSG00000005175,RPAP3,430,601,449,517,158,464,439,500,140
ENSG00000005187,ACSM3,396,1011,148,1078,554,830,422,973,123
ENSG00000005189,REXO5,104,114,48,77,37,70,67,137,24
